id,value
id_0,25.438603
id_1,65.527845
id_2,21.395466
id_3,27.614433
id_4,9.849557
id_5,32.789899
id_6,40.463136
id_7,16.355270
id_8,51.194760
id_9,34.803476
id_10,37.484808
id_11,60.827556
id_12,33.729240
id_13,39.857503
id_14,27.956244
id_15,14.476377
id_16,52.274347
id_17,23.489051
id_18,18.274401
id_19,19.666320
id_20,16.380355
id_21,30.724113
id_22,38.095323
id_23,10.799055
id_24,61.698434
id_25,45.188717
id_26,26.810328
id_27,8.710497
id_28,30.718027
id_29,35.931948
id_30,17.068279
id_31,11.286998
id_32,16.613570
id_33,6.615741
id_34,16.674540
id_35,41.861943
id_36,19.708781
id_37,26.804274
id_38,10.615779
id_39,59.972432
id_40,45.674350
id_41,20.660985
id_42,52.125865
id_43,18.781859
id_44,42.238304
id_45,51.203009
id_46,59.440872
id_47,43.132775
id_48,51.995309
id_49,39.364818
id_50,29.252713
id_51,23.497947
id_52,38.396261
id_53,24.476245
id_54,38.086977
id_55,42.115001
id_56,25.041300
id_57,22.632141
id_58,34.779903
id_59,32.601858
id_60,13.651079
id_61,23.824463
id_62,32.487542
id_63,55.242974
id_64,49.873872
id_65,26.217038
id_66,38.062411
id_67,52.947514
id_68,28.269228
id_69,37.433527
id_70,64.190386
id_71,54.403880
id_72,42.982967
id_73,13.296200
id_74,11.386550
id_75,34.690390
id_76,62.694084
id_77,1.563020
id_78,41.722342
id_79,40.570182
id_80,9.026252
id_81,20.668996
id_82,6.447887
id_83,34.503577
id_84,7.570370
id_85,6.365340
id_86,18.153781
id_87,11.039998
id_88,17.756406
id_89,24.878578
id_90,32.167221
id_91,11.741679
id_92,13.208915
id_93,8.220162
id_94,38.314940
id_95,15.988773
id_96,16.704550
id_97,8.883977
id_98,11.497657
id_99,4.275834
id_100,11.041655
id_101,20.096434
id_102,11.360084
id_103,10.292582
id_104,12.898717
id_105,37.449753
id_106,24.566400
id_107,7.500843
id_108,17.848422
id_109,15.472321
id_110,12.323613
id_111,15.777770
id_112,16.016219
id_113,26.860968
id_114,20.548288
id_115,16.617154
id_116,7.247833
id_117,45.080413
id_118,27.943017
id_119,-0.257339
id_120,1.308397
id_121,12.738411
id_122,13.126438
id_123,13.117671
id_124,7.480624
id_125,25.182223
id_126,20.659678
id_127,10.503877
id_128,18.755101
id_129,16.222674
id_130,1.531842
id_131,33.208858
id_132,13.151063
id_133,25.728076
id_134,23.866742
id_135,21.668536
id_136,8.482001
id_137,20.974855
id_138,75.461973
id_139,61.596634
id_140,28.372737
id_141,17.351460
id_142,24.173655
id_143,6.765139
id_144,12.777611
id_145,10.094495
id_146,19.341795
id_147,7.568850
id_148,16.049225
id_149,17.129954
id_150,47.004759
id_151,22.520532
id_152,22.301272
id_153,14.738803
id_154,15.557801
id_155,25.812167
id_156,26.122148
id_157,36.412675
id_158,3.451524
id_159,23.384865
id_160,41.581179
id_161,18.701261
id_162,58.348006
id_163,17.173605
id_164,33.653064
id_165,24.439367
id_166,23.194877
id_167,-0.502168
id_168,65.684549
id_169,15.821361
id_170,15.663031
id_171,70.043232
id_172,20.162059
id_173,1.401227
id_174,24.986714
id_175,-0.089434
id_176,7.703764
id_177,18.482105
id_178,19.698439
id_179,23.450181
id_180,42.571073
id_181,29.390726
id_182,28.614578
id_183,12.543843
id_184,7.285669
id_185,40.810196
id_186,35.860170
id_187,34.051265
id_188,15.301760
id_189,22.708946
id_190,14.748831
id_191,15.088694
id_192,31.640556
id_193,74.040024
id_194,30.222493
id_195,12.350482
id_196,63.602130
id_197,16.470073
id_198,19.476774
id_199,21.058791
id_200,123.716663
id_201,24.386286
id_202,59.226679
id_203,5.745102
id_204,60.713567
id_205,35.311218
id_206,15.618888
id_207,14.018348
id_208,62.359711
id_209,15.744787
id_210,34.261412
id_211,68.487330
id_212,20.928061
id_213,114.362503
id_214,39.536378
id_215,77.906969
id_216,91.478089
id_217,71.171363
id_218,32.078351
id_219,17.755172
id_220,30.985434
id_221,58.451302
id_222,27.149406
id_223,39.383425
id_224,43.853496
id_225,7.760307
id_226,4.637275
id_227,76.155621
id_228,30.513752
id_229,1.517996
id_230,39.978340
id_231,13.487982
id_232,22.434732
id_233,8.569030
id_234,12.899487
id_235,23.652120
id_236,14.022079
id_237,2.351493
id_238,21.650655
id_239,9.916928
