id,value
id_0,25.302348
id_1,62.336740
id_2,18.861658
id_3,29.444111
id_4,9.102481
id_5,33.763002
id_6,40.816113
id_7,18.126828
id_8,50.893217
id_9,32.107205
id_10,39.158415
id_11,58.769352
id_12,35.155053
id_13,41.377754
id_14,25.902619
id_15,13.156025
id_16,51.417038
id_17,23.212171
id_18,18.091682
id_19,19.072665
id_20,16.202906
id_21,30.270873
id_22,38.775463
id_23,10.640056
id_24,61.317610
id_25,45.841303
id_26,29.795306
id_27,6.611520
id_28,29.535442
id_29,36.954049
id_30,18.258789
id_31,11.298286
id_32,17.111958
id_33,7.679838
id_34,15.259569
id_35,41.581083
id_36,21.795693
id_37,27.928208
id_38,3.435041
id_39,58.717375
id_40,47.421158
id_41,19.816832
id_42,52.416972
id_43,18.672132
id_44,44.907852
id_45,47.946180
id_46,57.211599
id_47,41.258547
id_48,55.524899
id_49,39.823591
id_50,30.038345
id_51,23.585340
id_52,38.769731
id_53,23.668855
id_54,37.421503
id_55,37.983613
id_56,25.198589
id_57,22.069912
id_58,35.576792
id_59,31.665559
id_60,12.915527
id_61,21.887910
id_62,32.049660
id_63,53.862104
id_64,51.136117
id_65,26.060312
id_66,38.080207
id_67,52.760107
id_68,28.966463
id_69,40.053747
id_70,63.597250
id_71,54.349438
id_72,41.742869
id_73,14.342269
id_74,14.448846
id_75,36.291174
id_76,61.955847
id_77,2.817057
id_78,40.523074
id_79,42.353676
id_80,7.566906
id_81,22.846310
id_82,5.327210
id_83,31.143662
id_84,8.524418
id_85,5.670341
id_86,16.937128
id_87,10.706669
id_88,19.762704
id_89,25.386386
id_90,35.023301
id_91,11.970641
id_92,12.431692
id_93,9.456907
id_94,37.359583
id_95,15.159116
id_96,16.739233
id_97,9.469742
id_98,12.179742
id_99,4.384155
id_100,10.065780
id_101,18.060050
id_102,12.699928
id_103,7.948340
id_104,12.924351
id_105,36.313068
id_106,26.763061
id_107,7.603002
id_108,16.781820
id_109,15.001169
id_110,12.259114
id_111,17.045995
id_112,15.932972
id_113,26.696395
id_114,19.015523
id_115,16.551936
id_116,6.669669
id_117,45.976518
id_118,27.162316
id_119,0.566188
id_120,-1.031929
id_121,9.586826
id_122,13.193392
id_123,13.126188
id_124,7.832431
id_125,24.964981
id_126,20.631282
id_127,10.128491
id_128,20.740044
id_129,14.498797
id_130,-0.132946
id_131,33.292905
id_132,14.392961
id_133,20.649769
id_134,26.144163
id_135,23.777274
id_136,9.397124
id_137,20.952280
id_138,78.233253
id_139,60.162983
id_140,27.189594
id_141,18.455563
id_142,24.691440
id_143,7.058369
id_144,11.823044
id_145,10.283915
id_146,19.729147
id_147,8.298072
id_148,12.589471
id_149,15.570456
id_150,46.048921
id_151,22.009045
id_152,22.005049
id_153,14.732311
id_154,13.888439
id_155,24.925644
id_156,25.563588
id_157,36.009693
id_158,4.913375
id_159,22.845965
id_160,41.923853
id_161,19.494014
id_162,63.233168
id_163,17.078627
id_164,33.947812
id_165,23.746279
id_166,24.723105
id_167,1.057292
id_168,66.926182
id_169,15.500064
id_170,16.379274
id_171,68.392034
id_172,20.532396
id_173,1.973383
id_174,24.127991
id_175,-0.016186
id_176,7.821021
id_177,17.764822
id_178,20.384961
id_179,24.845432
id_180,42.989156
id_181,31.272406
id_182,27.997658
id_183,12.520769
id_184,6.323702
id_185,41.600466
id_186,35.931847
id_187,34.743235
id_188,17.193197
id_189,23.372572
id_190,14.346376
id_191,15.924365
id_192,31.001159
id_193,67.277287
id_194,29.098404
id_195,10.525437
id_196,63.379663
id_197,15.837328
id_198,20.473728
id_199,21.393393
id_200,123.828384
id_201,23.716457
id_202,58.805915
id_203,6.666935
id_204,59.841574
id_205,37.191886
id_206,15.225795
id_207,14.280969
id_208,62.988329
id_209,14.221052
id_210,36.149761
id_211,68.792397
id_212,19.545958
id_213,111.370738
id_214,41.442487
id_215,77.818515
id_216,92.445758
id_217,71.492010
id_218,29.703924
id_219,18.682265
id_220,29.129136
id_221,56.859684
id_222,27.221751
id_223,37.991116
id_224,43.368248
id_225,10.621040
id_226,3.426787
id_227,79.701434
id_228,30.881242
id_229,0.719592
id_230,40.375520
id_231,16.204382
id_232,21.765636
id_233,8.485953
id_234,14.731812
id_235,25.344806
id_236,13.545646
id_237,2.918530
id_238,22.123394
id_239,11.612736
