id,value
id_0,25.506471
id_1,63.803419
id_2,18.780604
id_3,29.007016
id_4,9.156761
id_5,33.285045
id_6,40.749975
id_7,17.931548
id_8,51.924077
id_9,32.346897
id_10,38.853643
id_11,59.101833
id_12,35.318586
id_13,41.267744
id_14,26.836777
id_15,13.115033
id_16,51.532126
id_17,23.861203
id_18,17.616011
id_19,18.898425
id_20,15.978744
id_21,30.683037
id_22,38.764099
id_23,10.695088
id_24,61.464372
id_25,46.062724
id_26,29.198089
id_27,7.076576
id_28,29.563864
id_29,36.734406
id_30,18.424824
id_31,11.517094
id_32,16.939669
id_33,8.000829
id_34,15.510461
id_35,42.743370
id_36,21.914823
id_37,27.843290
id_38,3.678068
id_39,58.914619
id_40,47.113088
id_41,20.254481
id_42,52.940440
id_43,18.503732
id_44,44.551969
id_45,48.654335
id_46,57.954821
id_47,41.381859
id_48,55.694208
id_49,39.813849
id_50,30.386184
id_51,23.840168
id_52,39.237926
id_53,23.964214
id_54,37.324065
id_55,38.150221
id_56,24.990073
id_57,22.319839
id_58,35.415066
id_59,32.062782
id_60,12.748588
id_61,21.917413
id_62,32.129293
id_63,53.930945
id_64,50.769151
id_65,26.359195
id_66,38.023859
id_67,52.792874
id_68,29.460388
id_69,40.003954
id_70,64.398692
id_71,55.106273
id_72,42.128069
id_73,14.505221
id_74,14.376544
id_75,36.427764
id_76,62.482826
id_77,2.628083
id_78,41.026698
id_79,42.413598
id_80,7.979034
id_81,22.543344
id_82,5.504412
id_83,31.190230
id_84,8.896670
id_85,5.429682
id_86,16.586113
id_87,10.949676
id_88,19.426562
id_89,24.801637
id_90,35.115703
id_91,11.756895
id_92,12.195545
id_93,9.679306
id_94,37.555296
id_95,15.402785
id_96,16.706690
id_97,9.554646
id_98,11.816710
id_99,4.112868
id_100,10.371422
id_101,17.915258
id_102,12.461123
id_103,8.327367
id_104,12.918414
id_105,36.284717
id_106,26.396472
id_107,7.773119
id_108,16.811995
id_109,15.152697
id_110,12.040429
id_111,16.504623
id_112,16.115455
id_113,25.926650
id_114,19.259166
id_115,16.322033
id_116,6.791559
id_117,45.962031
id_118,27.288962
id_119,0.431789
id_120,-0.946748
id_121,9.754260
id_122,12.939216
id_123,12.616527
id_124,7.487585
id_125,25.155742
id_126,21.436853
id_127,9.808408
id_128,20.419775
id_129,13.856244
id_130,-0.316897
id_131,33.046773
id_132,14.374997
id_133,21.101564
id_134,26.407418
id_135,24.169361
id_136,9.586046
id_137,21.573962
id_138,78.641808
id_139,60.677956
id_140,27.154732
id_141,18.369479
id_142,24.651381
id_143,7.293486
id_144,12.050152
id_145,10.205508
id_146,19.740752
id_147,7.924976
id_148,12.588427
id_149,15.779635
id_150,46.388788
id_151,21.739668
id_152,22.200580
id_153,14.604111
id_154,13.782090
id_155,24.656152
id_156,25.098072
id_157,36.532798
id_158,4.516691
id_159,23.094414
id_160,41.959825
id_161,19.533826
id_162,63.045284
id_163,17.086888
id_164,34.110942
id_165,23.866860
id_166,25.140164
id_167,0.588645
id_168,67.452138
id_169,15.293642
id_170,16.071790
id_171,69.647368
id_172,20.255377
id_173,1.866696
id_174,24.217317
id_175,-0.435281
id_176,8.060493
id_177,18.174782
id_178,20.482039
id_179,24.830968
id_180,43.136211
id_181,32.238695
id_182,28.283952
id_183,13.018761
id_184,6.751328
id_185,42.009626
id_186,36.144489
id_187,34.319462
id_188,16.962174
id_189,23.649895
id_190,14.668293
id_191,15.892302
id_192,31.092773
id_193,71.367641
id_194,29.539573
id_195,10.543623
id_196,63.396507
id_197,16.099443
id_198,20.423854
id_199,21.467741
id_200,123.937962
id_201,23.306248
id_202,58.742870
id_203,6.365323
id_204,60.264591
id_205,36.848297
id_206,15.438508
id_207,14.232522
id_208,62.646503
id_209,14.451873
id_210,36.664379
id_211,68.632681
id_212,19.570387
id_213,113.082938
id_214,41.324883
id_215,77.779238
id_216,92.053590
id_217,72.000183
id_218,30.229335
id_219,19.359785
id_220,29.615083
id_221,57.659011
id_222,27.246086
id_223,37.844092
id_224,43.756943
id_225,10.368818
id_226,4.136417
id_227,80.564480
id_228,30.808479
id_229,0.846285
id_230,40.717698
id_231,15.890366
id_232,21.674127
id_233,8.257327
id_234,14.803545
id_235,25.169940
id_236,13.801165
id_237,2.536661
id_238,22.230593
id_239,11.705828
